date,url,title,pub,pub_short
11/13/2023,https://www.rtve.es/noticias/20231108/mapa-guerra-israel-hamas-gaza-bombardeos-ataques-muertos/2459872.shtml,"Mapa de la guerra entre Israel y Hamás en Gaza: bombardeos, ataques y muertos",RTVE,rtve
11/8/2023,https://www.theguardian.com/world/2023/nov/08/thousands-flee-gaza-under-watch-israeli-tanks,Huge surge in numbers fleeing Gaza City,The Guardian,guardian
11/8/2023,https://www.theguardian.com/world/live/2023/nov/08/israel-hamas-war-live-updates-biden-netanyahu-gaza-occupation-palestine?page=with:block-654b9ea58f0898cc3cb036cc,US launches airstrike in response to attacks on bases housing US troops as Syrian state media reports strikes in south by Israel,The Guardian,guardian
11/8/2023,https://app.nos.nl/op3/gaza-een-maand-later/,Onder hevig vuur: Gaza een maand later,NOS,nos
11/3/2023,https://www.axios.com/2023/11/03/satellite-analysis-shows-widespread-destruction-in-gaza,Satellite analysis shows widespread destruction in Gaza,Axios,axios
11/2/2023,https://www.nytimes.com/2023/11/02/world/middleeast/israeli-troops-encircle-gaza-city.html,Israeli Troops Encircle Gaza City as Global Criticism of Strikes Mounts,The New York Times,nyt
11/3/2023,https://www.bnnbloomberg.ca/israel-latest-blinken-to-arrive-as-military-encircles-gaza-city-1.1993469,Israel Latest: Blinken to Arrive as Military Encircles Gaza City,BNN Bloomberg,bloomberg
11/3/2023,https://www.epe.es/es/internacional/20231103/satelites-muestran-israel-bombardea-masivamente-sur-gaza-94120810,Los satélites muestran que Israel bombardea masivamente en el sur de Gaza,El Periodico de Espana,epds
11/2/2023,https://www.humanite.fr/monde/bande-de-gaza/a-gaza-les-crimes-de-guerre-font-bouger-les-lignes-diplomatiques,"À Gaza, les « crimes de guerre » font bouger les lignes diplomatiques",L'Humanité,lh
11/2/2023,https://www.bloomberg.com/news/articles/2023-11-02/israel-latest-hamas-is-set-to-release-more-foreigners-from-gaza,Israel-Hamas War Latest: Destruction in Gaza,Bloomberg,bloomberg
12/7/2023,https://www.zeit.de/politik/ausland/israel-gazastreifen-krieg-karten,Nahostkonflikt: Aktuelle Karten und Grafiken zum Krieg in Israel | ZEIT ONLINE,Zeit,zeit
11/3/2023,https://www.elperiodico.com/es/internacional/20231103/israel-bombardeos-sur-gaza-guerra-94150982?%3Butm_medium=feed&%3Butm_campaign=internacional,Los satelites muestran que Israel también bombardea masivamente el sur de Gaza,El Periodico de Espana,epds
11/6/2023,https://elpais.com/internacional/2023-11-07/el-tamano-de-la-destruccion-de-un-mes-de-guerra-entre-israel-y-gaza-no-tiene-precedentes.html,El tamaño de la destrucción tras un mes de guerra entre Israel y Gaza no tiene precedentes  | Internacional | EL PAÍS,El Pais,ep
11/4/2023,https://www.spiegel.de/ausland/gaza-satellitendaten-zeigen-wie-massiv-die-zerstoerungen-bereits-sind-in-schutt-und-asche-a-7838a493-9f33-41bb-8fa6-c8c76ab1202c,"Gaza: Satellitendaten zeigen, wie massiv die Zerstörungen bereits sind",Der Spiegel,ds
11/7/2023,https://news-24.fr/cartes-suivre-les-attaques-en-israel-et-a-gaza/,Cartes: suivre les attaques en Israël et à Gaza – News 24,News 24,n24
11/7/2023,https://stories.lavanguardia.com/internacional/20231107/72013/un-mes-de-guerra-en-la-franja-de-gaza,Un mes del conflicto entre Israel y Hamas,Le Vanguardia,lv
11/5/2023,https://www.eldiarioar.com/mundo/mapa-destruccion-gaza-despues-mes-ofensiva-israeli_1_10659220.html,El mapa de la destrucción: así está Gaza después de un mes de ofensiva israelí,El Diario AR,ed
10/29/2023,https://www.bloomberg.com/news/features/2023-10-29/how-israel-and-palestinians-troubled-history-set-stage-for-gaza-war,How This Israel-Hamas Conflict Is Like Nothing That’s Happened Before,Bloomberg,bloomberg
10/23/2023,https://ici.radio-canada.ca/rci/fr/nouvelle/2019546/gaza-palestine-israel-guerre-hamas-cartes,"Les dommages de la bande de Gaza en cartes | Proche-Orient, l éternel conflit | Radio-Canada.ca",Radio Canada,rc
10/18/2023,https://www.spiegel.de/ausland/israel-gaza-krieg-was-satellitendaten-ueber-die-situation-in-gaza-verraten-a-a292b5ed-0131-4b58-ab88-c8d1b5e2be46,Israel-Gaza-Krieg: Was Satellitendaten über die Situation in Gaza verraten,Der Spiegel,ds
10/27/2023,https://elpais.com/internacional/2023-10-27/mapas-que-ha-destruido-una-semana-de-bombardeos-israelies-en-gaza.html,Mapas | La destrucción de la franja de Gaza por los bombardeos israelíes | Internacional | EL PAÍS,El Pais,ep
10/30/2023,https://www.lavanguardia.com/internacional/20231030/9338525/vigia-americano.html,El vigía americano,La Vanguardia,lv
10/20/2023,https://www.zeit.de/2023/46/gazastreifen-leben-israel-bodenoffensive-hamas/seite-2,"Gazastreifen: Gaza ist kein Land, das plötzlich in den Krieg gestürzt wurde | ZEIT ONLINE",Zeit,zeit
10/27/2023,https://www.standaard.be/cnt/dmf20231027_94814608,De oorlog in Gaza en Israël in kaart en beeld | De Standaard,Der Standaard,ds
10/19/2023,https://www.tdg.ch/guerre-hamas-israel-les-images-satellites-montrent-l-ampleur-des-degats-a-gaza-410849065989,Guerre Hamas-Israël: Les images satellites montrent l'ampleur des dégâts à Gaza | Tribune de Genève,TDG,tdg
10/18/2023,https://www.tagesanzeiger.ch/vorher-nachher-vergleich-satellitenbilder-zeigen-die-massive-zerstoerung-in-gaza-840901278132,Vorher-nachher-Vergleich: Satellitenbilder zeigen die massive Zerstörung in Gaza | Tages-Anzeiger,Tages Anzeiger,ta
11/1/2023,https://www.wsj.com/world/middle-east/israels-new-calculus-strike-hamas-at-all-costs-b6b3196f,Israel’s New Calculus: Strike Hamas Harder Than Ever,Wall Street Journal,wsj
10/29/2023,https://www.asahi.com/articles/ASRBX5F2DRBRUHBI045.html,人口密集地の難民キャンプも壊された　衛星データで見えたガザの被害 [イスラエル・パレスチナ問題]：朝日新聞デジタル,Asahi,asahi
11/9/2023,https://www.wsj.com/world/middle-east/we-have-no-tears-left-sounds-and-voices-of-people-living-in-gaza-a028906f,We Have No Tears Left': Sounds and Voices of People Living in Gaza,Wall Street Journal,wsj
11/9/2023,https://www.aljazeera.com/news/longform/2023/11/9/israel-attacks-on-gaza-weapons-and-scale-of-destruction,Israel’s attacks on Gaza: The weapons and mapping the scale of destruction | Israel-Palestine conflict News | Al Jazeera,Al Jazeera,aj
11/9/2023,https://www.npr.org/1211571220?live=1,"A third of Gaza City damaged or destroyed by bombing, satellite imagery shows : NPR",National Public Radio,npr
11/9/2023,https://on.ft.com/49xGKSn,We can’t go south': the Gaza residents defying Israel’s order to evacuate,Financial Times,ft
11/10/2023,https://on.ft.com/3QSOgQz,Does Israel have a road map for Gaza’s future?,Financial Times,ft
11/10/2023,https://www.aljazeera.com/news/2023/11/10/israeli-bombardments-damage-more-than-half-of-gazas-housing-units,Israeli bombardments damage more than half of Gaza’s housing units | Israel-Palestine conflict News | Al Jazeera,Al Jazeera,aj
12/29/2023,https://www.n-tv.de/politik/Immer-groessere-Teile-des-Gazastreifens-liegen-in-Truemmern-article24520953.html,Satellitengestützte Datenanalyse: Immer größere Teile des Gazastreifens liegen in Trümmern,N-TV,ntv
10/21/2023,https://www.nytimes.com/interactive/2023/10/07/world/middleeast/israel-gaza-maps.html?smid=url-share#rafah-crossing-southern-gaza-20,First aid trucks move through Rafah crossing as southern Gaza is pummeled by strikes,The New York Times,nyt
10/26/2023,https://www.nytimes.com/interactive/2023/10/07/world/middleeast/israel-gaza-maps.html?smid=url-share#gaza-damage-oct-26,A new look at where Israel has hit Gaza ,The New York Times,nyt
10/31/2023,https://www.nytimes.com/interactive/2023/10/07/world/middleeast/israel-gaza-maps.html?smid=url-share#gaza-damage-oct-31,"At least a quarter of buildings in northern Gaza are damaged, analysis estimates",The New York Times,nyt
10/18/2023,https://www.nytimes.com/interactive/2023/10/07/world/middleeast/israel-gaza-maps.html?smid=url-share#gaza-damage-oct-18,An updated look at where Israel has hit Gaza,The New York Times,nyt
11/9/2023,https://www.youtube.com/watch?v=vAVQQPAFz1w,Gaza devastation: Unprecedented scale of destruction by Israeli forces,Al Jazeera,aj
11/2/2023,https://www.bnnbloomberg.ca/israel-latest-hamas-is-set-to-release-more-foreigners-from-gaza-1.1992860,Israel Latest: Hamas Is Set to Release More Foreigners From Gaza,BNN Bloomberg,bloomberg
11/13/2023,https://www.rtve.es/noticias/20231113/mapa-guerra-israel-hamas-gaza-bombardeos-ataques-muertos/2459872.shtml,"Mapa de la guerra entre Israel y Hamás en Gaza: bombardeos, ataques y muertos",RTVE,rtve
11/9/2023,https://www.aljazeera.com/amp/news/longform/2023/11/9/israel-attacks-on-gaza-weapons-and-scale-of-destruction,Israel’s attacks on Gaza: The weapons and mapping the scale of destruction | Israel-Palestine conflict News | Al Jazeera,Al Jazeera,aj
11/12/2023,https://interactives.ap.org/ai2html-2023/Israel-Palestinian-War-Map/,Israeli military forces inside Gaza,Associated Press,ap
11/17/2023,https://www.nytimes.com/2023/11/17/world/middleeast/northern-gaza-israel-hamas-war-ruins.html,"A Journey Into Northern Gaza: Ruins, Wreckage and Darkness",The New York Times,nyt
11/18/2023,https://www.npr.org/2023/11/17/1213579692/israel-gaza-evacuation-south-attacks,Israel told Palestinians in Gaza to move south but attacks continue there : NPR,National Public Radio,npr
11/16/2023,https://www.theguardian.com/world/2023/nov/16/idf-says-hamas-hiding-evidence-of-use-of-shifa-hospital-as-command-centre,IDF says it has found Hamas tunnel shaft at al-Shifa hospital in Gaza | Israel-Gaza war | The Guardian,The Guardian,guardian
11/15/2023,https://www.lavanguardia.com/internacional/20231115/9378401/guerra-impone-terror.html,El ejército israelí irrumpe en el hospital más grande de Gaza,La Vanguardia,lv
11/18/2023,https://on.ft.com/3G1OEpP,Hundreds of patients flee Gaza’s al-Shifa hospital,Financial Times,ft
11/19/2023,https://www.ft.com/content/6591bc87-9dbd-4224-b95a-5c70dd5d88a1,Israeli forces advance in Gaza City as Benjamin Netanyahu resists ceasefire calls,Financial Times,ft
11/18/2023,https://elpais.com/internacional/2023-11-19/la-guerra-reduce-gaza-a-escombros.html,La guerra reduce Gaza a escombros | Internacional | EL PAÍS,El Pais,ep
11/14/2023,https://www.lavanguardia.com/internacional/20231114/9376109/hamas-rehenes-mujeres-menores-alto-fuego-hospital-al-shifa.html,Hamas ofrece entregar hasta 70 rehenes mujeres y menores a cambio de un alto el fuego,La Vanguardia,lv
11/20/2023,https://www.ft.com/content/04c1f19e-53c3-42b5-9af8-a2f5a962a896,In maps: half of northern Gaza’s buildings wrecked by war,Financial Times,ft
11/8/2023,https://www.youtube.com/watch?v=87QxTXyteCA,Maps show destruction in the Gaza Strip | AFP,AFP,afp
11/20/2023,https://www.nytimes.com/interactive/2023/10/07/world/middleeast/israel-gaza-maps.html?hide-chrome=1&smid=url-share#gaza-damage-nov-20,"Half of all buildings in northern Gaza are likely damaged or destroyed, according to satellite analysis estimates",The New York Times,nyt
11/21/2023,https://on.ft.com/3R6kwQm,Israel’s government meets as Joe Biden says Hamas hostage deal is close,Financial Times,ft
11/21/2023,https://abcnews.go.com/International/mapping-destruction-space-half-northern-gaza-buildings-damaged/story?id=105059423,"Mapping destruction from space shows about half of northern Gaza's buildings are damaged, researchers say",ABC News,abc
12/29/2023,https://www.democracynow.org/2023/11/22/radar,"Gaza in Ruins: Satellite Imagery Researchers Say Israel has Destroyed or Damaged 56,000 Buildings | Democracy Now!",Democracy Now,dn
11/23/2023,https://www.lefigaro.fr/fig-data/guerre-israel-hamas-comment-l-hopital-al-shifa-est-devenu-l-epicentre-du-conflit-20231122/,Guerre Israël-Hamas : comment l'hôpital al-Shifa est devenu l'épicentre du conflit.,Le Figaro,lf
11/23/2023,https://apnews.com/article/palestinians-gaza-israel-bombing-destruction-hamas-reconstruction-f299a28410b70ee05dd764df97d8d3a0,Gaza has become a moonscape in war | AP News,AP News,ap
12/19/2023,https://www.lefigaro.fr/international/guerre-israel-hamas-la-moitie-des-batiments-du-nord-de-gaza-endommages-ou-detruits-20231123,Guerre Israël-Hamas : plus de 100.000 immeubles endommagés ou détruits dans toute la bande de Gaza,Le Figaro,lf
11/24/2023,https://www.theguardian.com/world/2023/nov/24/we-are-overwhelmed-southern-gazas-exhausted-doctors-forced-to-leave-children-to-die,‘We are overwhelmed’: southern Gaza’s exhausted doctors forced to leave children to die | Israel-Gaza war | The Guardian,The Guardian,guardian
11/24/2023,https://www.ft.com/content/1bae082b-f976-4453-b24a-45bdb13446c5,Hamas releases 24 hostages as Israel truce takes hold,Financial Times,ft
11/24/2023,https://www.elvigia.net/nacional/2023/11/24/temen-que-gaza-quede-inhabitable-430741.html,Temen que Gaza quede inhabitableÂ ,Periodico El Vigia,pev
11/24/2023,https://ba.voanews.com/a/gaza-razaranje-buducnost/7368420.html,"Kada bitke prestanu, mnogi strahuju da će Gaza ostati nenastanjiva",Voice of America,voa
11/23/2023,https://news-24.fr/gaza-en-ruines-des-chercheurs-en-imagerie-satellite-affirment-quisrael-a-detruit-ou-endommage-56-000-batiments/,Gaza en ruines : des chercheurs en imagerie satellite affirment qu’Israël a détruit ou endommagé 56 000 bâtiments – News 24,News 24,n24
11/24/2023,https://www.lefigaro.fr/international/en-direct-guerre-hamas-israel-debut-du-cessez-le-feu-de-4-jours-entre-les-deux-belligerants-20231124,Les autorités israéliennes ont reçu la liste des otages qui pourront quitter Gaza samedi,Le Figaro,lf
11/23/2023,https://apnews.com/article/palestinians-gaza-israel-bombing-destruction-hamas-reconstruction-f299a28410b70ee05dd764df97d8d3a0,Gaza has become a moonscape in war | AP News,Associated Press,ap
11/27/2023,https://www.dn.se/varlden/gaza-en-spokstad-jag-akte-tillbaka-for-att-radda-barnens-katt/,Gaza en spökstad efter bombningarna,Dagens Nyheter,democracynow
11/27/2023,https://www.theguardian.com/world/2023/nov/27/aid-agencies-welcome-extension-of-gaza-truce-but-fear-its-end,Aid agencies welcome extension of Gaza truce but fear its end | Israel-Gaza war | The Guardian,The Guardian,guardian
11/28/2023,https://www.theguardian.com/world/2023/nov/28/israel-hamas-war-ceasefire-deal-extended-two-days-hostages-gaza-palestine,More Israeli hostages and Palestinians freed as ceasefire extension agreed | Israel-Gaza war | The Guardian,The Guardian,guardian
12/19/2023,https://www.lefigaro.fr/international/guerre-israel-hamas-la-moitie-des-batiments-du-nord-de-gaza-endommages-ou-detruits-20231123,Guerre Israël-Hamas : plus de 100.000 immeubles endommagés ou détruits dans toute la bande de Gaza,Le Figaro,lf
11/27/2023,https://www.dn.se/varlden/gaza-en-spokstad-jag-akte-tillbaka-for-att-radda-barnens-katt/,Gaza en spökstad efter bombningarna,DN,dn
11/28/2023,https://www.npr.org/2023/11/28/1196978556/danger-for-gazans-who-followed-israels-evacuation-order-family-of-released-hosta,Danger for Gazans who followed Israel's evacuation order; family of released hostage : State of the World from NPR : NPR,National Public Radio,npr
11/29/2023,https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-updates-rcna126940#rcrd26812,More hostages to be released as Gaza truce is extended,NBC News,nbc
11/29/2023,https://www.ft.com/content/55d74061-49c2-4a57-b67d-9daab07509fa,Gaza’s children fight to survive amid wreckage of Israel-Hamas war,Financial Times,ft
12/1/2023,https://www.bbc.com/news/world-middle-east-67565872,"Nearly 100,000 Gaza buildings may be damaged, satellite images show",BBC,bbc
12/1/2023,https://www.ft.com/content/c0baa718-e1a6-4e1e-a198-cda9a252b3ac,Israel plans for ‘long war’ and aims to kill top three Hamas leaders,Financial Times,ft
12/1/2023,https://www.theguardian.com/world/2023/dec/01/hospital-damage-in-gaza-during-israeli-offensive-a-visual-investigation,Hospital damage in Gaza during Israeli offensive – a visual investigation | Israel-Gaza war | The Guardian,The Guardian,guardian
12/1/2023,https://www.lecho.be/dossiers/guerre-israel-hamas/gaza-carte-interactive-degats-hamas-israel.html,Entre 50 et 60% des bâtiments ont été détruits dans le nord de Gaza,l'Echo,echo
12/1/2023,https://www.lavanguardia.com/internacional/20231201/9418556/gaza-perdido-60-hogares.html,El antes y después en la franja de Gaza: ha perdido el 60% de los hogares,La Vanguardia,lv
12/1/2023,https://www.rtve.es/noticias/20231201/guerra-gaza-diario-testigo-incomodo/2462999.shtml,Guerra en Gaza: diario de un testigo incómodo,RTVE,rtve
11/30/2023,https://www.cnn.com/interactive/2023/middleeast/map-humanitarian-aid-water-power-hospitals-gaza-strip-dg/,Map: Thousands of homes in Gaza are damaged or destroyed. See the destruction.,CNN,cnn
12/2/2023,https://on.ft.com/3Goip4a,Shattered Israel-Hamas truce leaves Gaza’s civilians with nowhere left to run,Financial Times,ft
11/30/2023,https://www.derstandard.de/consent/tcf/jetzt/livebericht/3000000197583/1000321476/waffenruhe-im-gazastreifen-um-eiverlaengert,Sechs weitere Hamas-Geiseln ans Rote Kreuz übergeben,Der Standard,ds
12/3/2023,https://www.lefigaro.fr/international/en-direct-guerre-hamas-israel-tsahal-continue-de-bombarder-la-bande-de-gaza-ce-dimanche-20231203#03-12-2023-07-38-08,Guerre Hamas-Israël : Tsahal affirme avoir localisé plus de 800 puits menant vers les tunnels du Hamas,Le Figaro,lf
10/28/2023,https://www.ft.com/content/2723dc90-b3f3-407b-b111-08e350df284d,Israeli forces fight through the night as ground operations in Gaza intensify,Financial Times,ft
11/24/2023,https://www.pbs.org/newshour/world/palestinians-fear-gaza-will-be-an-uninhabitable-moonscape-after-war-ends,Palestinians fear Gaza will be an uninhabitable moonscape after war ends | PBS NewsHour,PBS,pbs
12/5/2023,http://www.nzz.ch/international/gazakrieg/wie-eng-ist-es-mittlerweile-im-gazastreifen-ld.1767277,Gazakrieg: Wie viele Gebäude zerstört sind und wie voll es im Süden ist,NZZ,nzz
12/6/2023,https://www.ft.com/content/7b407c2e-8149-4d83-be01-72dcae8aee7b,Military briefing: the Israeli bombs raining on Gaza,Financial Times,ft
12/5/2023,https://www.nytimes.com/interactive/2023/12/05/world/middleeast/gaza-60-days.html,60 Days of Life in Gaza: ‘No Safe Place’,The New York Times,nyt
12/6/2023,https://amp.theguardian.com/world/2023/dec/06/israel-and-hamas-fight-house-to-house-battles-across-gaza,UN chief warns Gaza aid delivery could collapse as Israel and Hamas fight house-to-house  | Israel-Gaza war | The Guardian,The Guardian,guardian
12/6/2023,https://www.washingtonpost.com/world/2023/12/06/gaza-uninhabitable-unexploded-bombs/,"Unexploded bombs, many U.S.-made, could make Gaza unsafe for years",The Washington Post,wapo
12/6/2023,https://www.eldiario.es/internacional/bomba-israeli-220-habitantes-mapas-meses-masacre-gaza_1_10746823.amp.html,Un ataque israelí por cada 220 habitantes: los mapas de dos meses de masacre en Gaza,El Diario,diario
12/7/2023,https://www.theguardian.com/world/2023/dec/07/widespread-destruction-in-gaza-puts-concept-of-domicide-in-focus,Widespread destruction in Gaza puts concept of ‘domicide’ in focus | Israel-Gaza war | The Guardian,The Guardian,guardian
12/8/2023,https://www.tagesanzeiger.ch/gaza-satellitendaten-israel-hat-ein-drittel-aller-gebaeude-zerstoert-804316477969,Israels Bomben haben rund ein Drittel aller Gebäude im Gazastreifen zerstört,Tages Anzeiger,ta
12/8/2023,https://apnews.com/article/israel-hamas-war-refugees-displaced-muwasi-ca3860fafed03cb2333ad0bdf2379e31,Israel designates a safe zone in Gaza. Palestinians and aid groups say it offers little relief | AP News,AP News,ap
12/9/2023,https://on.ft.com/4aeMMb6,Military briefing: the battle for Khan Younis,Financial Times,ft
12/7/2023,https://www3.nhk.or.jp/news/html/20231207/k10014281061000.html,イスラエル軍 ガザ地区南部の東側境界から侵攻か 衛星画像分析,NHK,nhk
12/12/2023,https://www.lefigaro.fr/international/la-destruction-de-gaza-est-plus-ou-moins-celle-de-l-allemagne-lors-de-la-seconde-guerre-mondiale-selon-josep-borrell-20231212,"La destruction de Gaza est «plus ou moins» celle de l'Allemagne lors de la Seconde Guerre mondiale, selon Josep Borrell",Le Figaro,lf
12/6/2023,https://www.theguardian.com/world/2023/dec/06/israel-and-hamas-fight-house-to-house-battles-across-gaza,UN chief warns Gaza aid delivery could collapse as Israel and Hamas fight house-to-house  | Israel-Gaza war | The Guardian,The Guardian,guardian
12/8/2023,https://www.nzz.ch/english/people-in-war-torn-gaza-have-less-living-space-than-ever-ld.1769304,People in war torn Gaza have less living space than ever,NZZ,nzz
12/9/2023,https://www.lapresse.ca/international/moyen-orient/2023-12-09/israel-et-le-hamas-en-guerre/la-destruction-de-batiments-civils-un-crime-de-guerre.php,"Israël et le Hamas en guerre | La destruction de bâtiments civils, un « crime de guerre » | La Presse",Le Presse,presse
12/9/2023,https://www.elperiodico.com/es/internacional/resumen-guerra-israel-gaza-hamas-sh/index.html,Guerra en Israel y Gaza: resumen del conflicto en Oriente PrÃ³ximo,El Periodico de Espana,epde
12/6/2023,https://www.eldiario.es/internacional/bomba-israeli-220-habitantes-mapas-meses-masacre-gaza_1_10746823.html,Un ataque israelí por cada 220 habitantes: los mapas de dos meses de masacre en Gaza,El Diario,diario
12/6/2023,https://www.irishtimes.com/world/middle-east/2023/12/06/israels-gaza-attack-one-of-historys-heaviest-conventional-bombing-campaigns/,Israel’s Gaza attack ‘one of history’s heaviest conventional bombing campaigns’ – The Irish Times,Irish Times,it
12/13/2023,https://on.ft.com/3uOk4gP,How the loss of entire families is ravaging the social fabric of Gaza,Financial Times,ft
12/13/2023,https://abcnews.go.com/International/damage-epicenter-shifts-khan-yunis-israel-hamas-fighting/story?id=105629137,"Damage epicenter shifts to Khan Younis as Israel-Hamas fighting moves south, data shows",ABC News,abc
12/14/2023,https://www.npr.org/2023/12/14/1218643254/israel-is-using-an-ai-system-to-find-targets-in-gaza-experts-say-its-just-the-st,Here's how Israel is using artificial intelligence to find targets in Gaza.  : NPR,National Public Radio,npr
12/14/2023,https://www.thetimes.co.uk/article/almost-half-of-israels-gaza-strikes-use-unguided-missiles-9tw0gm3gq,Almost half of Israel’s Gaza strikes ‘use unguided missiles’,The Times,times
12/14/2023,https://elpais.com/internacional/2023-12-14/mapas-y-graficos-de-la-guerra-entre-israel-y-gaza-que-explican-como-evoluciona-el-conflicto.html?outputType=amp,Mapas y gráficos de la guerra entre Israel y Gaza que explican cómo evoluciona el conflicto | Internacional | EL PAÍS,El Pais,ep
